Date,1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR
2011-02-01,0.16036258804690107,0.14748113695137438,0.1399569604571287,0.14562479453512478,0.2544708863346654,0.6856903985621623,1.2046926468259018,2.13379580759056,2.800631159128862,3.4259243943348823,4.2329890462390445,4.5058613179447775
2011-03-01,0.05321357936678783,0.06580299365641462,0.0815241170634278,0.14512641237432966,0.32836925596206534,0.8106565884467983,1.3246855122901233,2.214606329355784,2.856209652338617,3.468905626303266,4.276082838111806,4.5506200883869985
2011-04-01,0.044231842020379206,0.04311939163878986,0.04573164759389958,0.07338285485990523,0.19834583958993432,0.6068386355337244,1.0860508624100773,1.9660513410611642,2.6273137008251437,3.275116177251225,4.144841116033974,4.4420959828205415
2011-05-01,0.05879814256638581,0.05659683650905702,0.0572259722529056,0.07442313343743205,0.16456450166735578,0.48350527948559635,0.8816351919211467,1.6673665846642074,2.305425278535834,2.9740015695895337,3.933663834846677,4.269390511032931
2011-06-01,0.03973795060244021,0.03585440419489701,0.03519501536420728,0.05060860220590831,0.1444120587899932,0.48665690114540106,0.9147430203186049,1.752390641122252,2.423502681522368,3.1171027588210496,4.097402714954647,4.438247655153077
2011-07-01,0.19845268302685898,0.173684537059202,0.15284726395039983,0.11177234494617744,0.10913841272939626,0.3122628283769885,0.6535500187944691,1.4099421816435567,2.0600618061227474,2.7589814029994644,3.77765272630017,4.13533833110976
2011-08-01,0.08101633334203909,0.06209728833209834,0.045928229206518026,0.012582162272551083,0.003391963240975855,0.14355521587290954,0.3997174627050282,1.0074897896677233,1.566831478921437,2.2068384216251244,3.209462172153411,3.5731867709922738
2011-09-01,0.07278132160090084,0.05955108362258098,0.04887633954453628,0.030765276999658153,0.045959972247103506,0.20973360681244194,0.45959981585568,0.9956237886196206,1.4494889529468953,1.934230527889015,2.638022864520404,2.884917532963743
2011-10-01,0.07335267223942252,0.05722243522984964,0.04399290257651521,0.020105910595996385,0.03080181233631723,0.20440731326778727,0.4771799207308395,1.0684520692347192,1.5715315343114429,2.1099872997286107,2.892753238947577,3.1674353260307715
2011-11-01,0.07109856783463521,0.056159111152447795,0.04397822429090515,0.02245966430174844,0.03498876345065325,0.2045103173377777,0.4678199742427067,1.0362945831202692,1.5190756227617495,2.035381168849198,2.7855841251935995,3.0488089886167504
2011-12-01,0.07931582115503524,0.06403509781537618,0.051273785395948394,0.026762188888483467,0.029069731333208025,0.16962816401849268,0.4020539569507551,0.9201798012367248,1.3710892883130419,1.862486424073896,2.590386913783939,2.8477539248504695
2012-01-01,0.10790909860842815,0.09346400706983492,0.08103939715116576,0.054949747186783165,0.04553892504273495,0.14685168505809976,0.33916747098799194,0.8081132605231964,1.2513788595002022,1.7713699965920742,2.611875557226768,2.921806002122556
2012-02-01,0.13177341196099085,0.12132766430774693,0.11281586597244095,0.09795133596027551,0.10874975829667467,0.24227483522814755,0.45754245948207184,0.9525161857236385,1.405720404318912,1.9272948430526862,2.755258716909407,3.058102183094748
2012-03-01,0.1335967105876207,0.11897278081378117,0.10705468782155132,0.08608605884938542,0.09920278182266387,0.27078641433675826,0.5396690820951218,1.1293660800470602,1.639647560927913,2.1952000093736483,3.018944313214885,3.310446300923394
2012-04-01,0.15161543258582225,0.13858293395387108,0.12752443169697855,0.10527923552940704,0.10260944215388906,0.21483101589468892,0.4160910418671882,0.9002361564171877,1.3566940822090796,1.8931889726527893,2.7647325901256457,3.087197598867326
2012-05-01,0.12758323913857725,0.11727927008565006,0.10853525842274493,0.0909584800636232,0.08905768378660575,0.1795985020313291,0.34279822816141636,0.7393706381997834,1.1179340581805686,1.5686043986232503,2.313580052162763,2.591979461229326
2012-06-01,0.14106724666353765,0.13282784443958115,0.12607326211036723,0.11404410407613581,0.12158789253852773,0.2260439785019044,0.3987409773927581,0.8072111388319014,1.1931148274547907,1.6511851107551274,2.408720396615381,2.6922110650595537
2012-07-01,0.1600021271421199,0.14530636425417215,0.1323545622215402,0.10318355820152074,0.08212269767540582,0.14639286594169773,0.2938394484534817,0.6749543799566305,1.0471300426383565,1.4932298076358632,2.2308574471010214,2.505933063032357
2012-08-01,0.16193811765014857,0.14670031803646447,0.13322120481446983,0.10256864896563989,0.07907752974892221,0.1409528526423065,0.28928233039181916,0.6796973501861308,1.0665987386291478,1.536421446439176,2.3264086930425303,2.6238330874897042
2012-09-01,0.15679448600927362,0.14192991081973136,0.12882670997422732,0.0993261830109937,0.07830476769064816,0.14603508742169427,0.301509413182573,0.7089510858746422,1.1140588688855444,1.6089675571164248,2.4493997513448176,2.767826089489152
2012-10-01,0.16455512756726132,0.15283974462554917,0.1428053051362093,0.12203639721613296,0.11642405919172803,0.20755584587248582,0.3781910161130076,0.7986580113081729,1.2033329361026963,1.6877615115937585,2.49334793501971,2.795331854878819
2012-11-01,0.16591926045094726,0.15178198498880302,0.13933443051476047,0.11140676494986318,0.09204371996101761,0.1590320942906509,0.31084101229935673,0.7085803169282362,1.1050191043787925,1.5910023851036934,2.4206951297340704,2.736125781388592
2012-12-01,0.10386014376498655,0.0934736818943602,0.08476881896721865,0.06798734488368757,0.07030213426577839,0.1768203201843555,0.3618638689733838,0.8074493254079704,1.232228138410118,1.7388868805759496,2.5802163812898207,2.8956166432767256
2013-01-01,0.10890086230202706,0.09835567669892967,0.08976152804634546,0.0747551039579848,0.08575351139690768,0.22154471299251943,0.44117682844121986,0.9487400629427198,1.416269121524055,1.957583855047939,2.8236863855160377,3.141828027832247
2013-02-01,0.1524399652057846,0.1378055065526527,0.12516224357172448,0.09827939936887181,0.0869522572949864,0.18475289798666888,0.37557025646278425,0.8488201051820579,1.3032101686917201,1.844003167528361,2.73452534361945,3.0662841950875834
2013-03-01,0.11805283587797469,0.10533058446320434,0.09449017108059758,0.07241200787569514,0.06839286562407096,0.17434252349590243,0.3682734750380532,0.8418778734622101,1.2950468172657277,1.835183175478839,2.7289066201312626,3.0630216346696604
2013-04-01,0.10133668596464425,0.08885683155984482,0.0781257857980497,0.05564824922866126,0.048120487427649655,0.13993429777109725,0.3151158987901628,0.7497800235110449,1.1698827213391205,1.6742755231748112,2.5158682306787488,2.831912096316011
2013-05-01,0.06652377595439792,0.06009305290176105,0.05565583428016559,0.05328336437016162,0.08960265777264763,0.2724142989383107,0.5306615325686609,1.088321343223009,1.578421947163823,2.126665966863787,2.9717539357863467,3.276695343078675
2013-06-01,0.039693842131729086,0.03846937505383797,0.039562360740173816,0.05537167647614461,0.13257799425129602,0.400097059162703,0.7317028052368773,1.3839400734077831,1.912638759246008,2.466153220007661,3.2602464679819683,3.538015741357651
2013-07-01,0.04599908366132417,0.0392505959216962,0.035217408375584194,0.03784216764468719,0.09701843955148906,0.35176838565475227,0.6885056748096487,1.3707677745823121,1.932467540150672,2.5248140389822695,3.378358068879429,3.6772414177078256
2013-08-01,0.04913222655229786,0.03543105815833965,0.026097845540159256,0.021298709802601134,0.09311972340868782,0.4228383901512277,0.8403015992364999,1.6168551253927768,2.1933582606351787,2.7473557848684154,3.4760675333097173,3.723574801102436
2013-09-01,0.028392848910774347,0.022464972063101878,0.0192544148333384,0.024351362578838975,0.08843243785495308,0.3524915914582472,0.697527195836967,1.393029269011566,1.9641216666814385,2.5656395400374734,3.431762730255447,3.734996942540948
2013-10-01,0.05781954093541941,0.0477207538342098,0.04050967324734757,0.034559210273310284,0.08029106215243481,0.3189424822599115,0.6485801976731369,1.3291030559735886,1.8947065297883925,2.4937662976517307,3.359235871801256,3.6624860782434694
2013-11-01,0.09582916857937147,0.07894794673256994,0.06563045512849147,0.04500942017297656,0.07466438508731704,0.31455424131480936,0.6663525603010086,1.4021015171998625,2.0115789292127815,2.6510426642107885,3.5627942771736794,3.8804423816188907
2013-12-01,0.09519555572946137,0.06922564081211927,0.04916272643318503,0.02024377247709392,0.07146664776596472,0.420558202089661,0.885359452100248,1.7495345005153893,2.3799761059190083,2.9742040709110054,3.742296884342334,4.002002081716655
2014-01-01,0.049698153479102336,0.036244333620621697,0.026678083291092503,0.01877657916751251,0.07706103007875648,0.36936493522355845,0.7532532555814209,1.4928046325765367,2.0612953523423316,2.6229886030483534,3.379681917146133,3.6383974580651888
2014-02-01,0.07124841697656438,0.05650204158945482,0.045754793938840514,0.03489149973573795,0.08921632738633206,0.3777651274082276,0.7597023748296204,1.4950311089861839,2.058217036432869,2.6124021587173076,3.3559370969070965,3.6098340586812134
2014-03-01,0.07093589858987984,0.051547621448154446,0.03791465003835392,0.027064117953672605,0.1071333586016205,0.4805694363597084,0.9323561309287555,1.7148340564565612,2.251389224406479,2.735899586274549,3.3438004515452335,3.5481030888451532
2014-04-01,0.06652644763693825,0.04189866157705883,0.02375446758097425,0.0030208084453945024,0.0746747850645284,0.4504572426287479,0.9076055507917808,1.68742915717821,2.210980518916441,2.6759920627169436,3.253008089289733,3.446550869750299
2014-05-01,0.06787647297479348,0.05117415667212381,0.03920025338446285,0.02817930150160533,0.09200614418758327,0.4079592813357562,0.8036978118810862,1.5157082075498425,2.023065607713085,2.4942863364438748,3.097284054046729,3.30073652898117
2014-06-01,0.03797500163225326,0.03020213472462504,0.02661621624851151,0.03778173154685939,0.13472292022844792,0.48571565670815464,0.892577393644633,1.5988868458892795,2.091952646127514,2.5452704399955723,3.122047457779272,3.3164536901995003
2014-07-01,0.012528431936810643,0.008476863198796569,0.009004820835494627,0.034201984635906596,0.1623160524042499,0.5674615177158406,1.0054307016262338,1.7199201502309205,2.1909582209545158,2.607400398785519,3.1237802845115055,3.296997436362989
2014-08-01,0.03964804386419368,0.025035916926140947,0.016104148547875854,0.018456982679320583,0.11829810747562788,0.4983984387286552,0.921009793200185,1.6005731838828356,2.0361244505590173,2.4124872315191883,2.8724759379338205,3.0264236816092622
2014-09-01,0.029242073290122392,0.015416120803134247,0.008148173512244816,0.019564696147519357,0.14784067867667539,0.5890211638836996,1.0540625339954843,1.7659010319451336,2.2024277955121905,2.5698339457668458,3.01295080812976,3.1610070991403045
2014-10-01,-0.08375857806897848,-0.05527824458819335,-0.026368331867332492,0.06245278628170957,0.24577498530775752,0.6124594621860487,0.9537544402512329,1.5173712892487208,1.9274330266110709,2.3336091178667258,2.896115553603583,3.091156248579451
2014-11-01,-0.04537098774341136,-0.021595752880642586,0.0027222577144353716,0.07841715120440046,0.23816194980754113,0.5666025060430997,0.8788146043024525,1.4026521802282876,1.7880424089584017,2.172132237267062,2.706223076111856,2.8916026161058745
2014-12-01,-0.06250176503849907,-0.020583647497872712,0.020750880691467723,0.14126371695141987,0.36679365129696506,0.7590393157541435,1.0811268637872513,1.5585686844925948,1.877742540074383,2.178367652939942,2.58036344765858,2.7184850113917363
2015-01-01,-0.03392331498279318,-0.010127336398695704,0.013773031621893056,0.08584636259448976,0.229744688527615,0.5052499852910589,0.7526774997099575,1.1498809113221442,1.4329662360914872,1.7101191633484119,2.0909426490372964,2.2227227874384345
2015-02-01,-0.06761642270289955,-0.03062023424704604,0.005982971982480986,0.11337129745796053,0.31686701812864215,0.6778615096295192,0.9802280327020296,1.4369643596942507,1.7472145901642706,2.0423822564385383,2.4399426485503564,2.5768017379548525
2015-03-01,-0.0039054030104645077,0.02368903645556589,0.05134316667196805,0.1344056813430744,0.2990387829444364,0.611080388457799,0.8889074542291181,1.331744862024284,1.6456665893180542,1.952061459840264,2.3721791380626915,2.517477880118774
2015-04-01,-0.049410572491492596,-0.020754912329029748,0.008054406589001707,0.09508161613967854,0.26938538759154657,0.6045448028223024,0.9066460838434338,1.3930618238082073,1.7404967573366896,2.08108269820463,2.5494701728977724,2.7115868232582185
2015-05-01,-0.04268325797552134,-0.014002803824132454,0.01490986574365625,0.10267134515553872,0.2799825822101291,0.6249426633728392,0.9389309363714435,1.4484785823289628,1.814555976044661,2.174605980428514,2.670870678549815,2.842734647769957
2015-06-01,-0.04006995081392657,-0.008412998836967469,0.023463417753506462,0.12002326373079424,0.31439380084723834,0.6906853624355237,1.0317970359359374,1.583554582545706,1.979005369247638,2.3674143886788084,2.902273361910283,3.0874593677284907
2015-07-01,0.010211813735155466,0.040670409733882584,0.07124038522700211,0.1633066137612006,0.3466848861455014,0.6966318449859886,1.0100398349987496,1.5120159671285014,1.8691611090980138,2.218478191665086,2.6981381879172393,2.864091165337553
2015-08-01,0.036302176767689244,0.06890274766127764,0.10148122323676617,0.1988345673778644,0.38996151421865544,0.7473814235074132,1.061882014338326,1.5582373848265243,1.9074492657948101,2.2467915049375042,2.710682936394181,2.8709959886002565
2015-09-01,-0.016009235839848476,0.009830075636953445,0.03599222257286991,0.1160146216317868,0.2798998993521661,0.6044670372420634,0.9041946993609502,1.3961703112982164,1.7525578355910034,2.1047140170580243,2.5916203437089123,2.7603782480238546
2015-10-01,0.02745410594296403,0.05926563433876301,0.09107416380879121,0.18622720004183235,0.373404360316688,0.7244245373194073,1.034064755681338,1.523782004012321,1.8688830088511625,2.2045491127881203,2.6637149887937848,2.8224217624435837
2015-11-01,0.1631494560891232,0.1991137004457056,0.23477099438129986,0.3397947024299389,0.5403487638261246,0.9003779335312107,1.2054389529007075,1.671175316233843,1.9903291928473135,2.295613350627586,2.7083817242979222,2.8506196128349175
2015-12-01,0.17353548619876252,0.21699421100825353,0.25972939825713154,0.3836756993225496,0.6131780323044173,1.0054690112760543,1.3218276708548338,1.7825000017710833,2.085689513684128,2.3683981528705744,2.7436577740820227,2.8723392593784354
2016-01-01,0.29573343219214737,0.30891072406420894,0.32283019609509445,0.3684921976962827,0.47310640923724256,0.7086665374540998,0.9471344446318253,1.3652807691483286,1.6821046490149618,2.002864924750311,2.453487351495287,2.610299088284411
2016-02-01,0.34884309432342425,0.3613408781527617,0.3743095793187888,0.4157042678330435,0.5070386245076606,0.7068351541775229,0.9081972976392042,1.2676439131678285,1.549245502894392,1.845257168488063,2.2810150212056577,2.435910376444414
2016-03-01,0.26332066483643485,0.2765008151370698,0.29032989671118764,0.3352169085819326,0.4364512777299061,0.6607344140488896,0.8854068840803229,1.276592967124473,1.5716387403527285,1.8696360994721808,2.28763463866862,2.433037508393323
2016-04-01,0.24672900465868017,0.26336995807850316,0.28050997951373313,0.33449225690755774,0.4506427736433235,0.6949789019289004,0.9311698919025302,1.332327701847732,1.6299433839889723,1.9279063022072274,2.343474824170586,2.4878249792307567
2016-05-01,0.3503338567589667,0.3689821140233735,0.38792881238806753,0.4462310188054007,0.5668912777887605,0.809069074439914,1.0350852621201878,1.4090986129942098,1.6816114859103344,1.9517612292525328,2.3260894107138483,2.4558999588277737
2016-06-01,0.28156984097798804,0.2854735126994875,0.29033312387971205,0.3100451498234774,0.3678484481934816,0.5268972147184688,0.7066578266924516,1.0436932067876703,1.309703926212142,1.5846478506638138,1.975989339314246,2.112614072736546
2016-07-01,0.2815089091772518,0.29152398245424316,0.3020768208540386,0.33656001179279604,0.41511106255572616,0.5909519378143382,0.7682932580276451,1.0784756277791494,1.3131162173086235,1.5504709378794692,1.883738716606833,1.9996965002041234
2016-08-01,0.33349591567025094,0.3508183897605456,0.36828354857078094,0.42131031572782446,0.5284916314994678,0.7371360562204625,0.9271396249124094,1.2356011118566492,1.4572737412687298,1.6753315869420722,1.975917983631327,2.0800184837000217
2016-09-01,0.3070077851021242,0.32129336246349055,0.3359635558226765,0.38193698015020067,0.4800515012304619,0.6844906788373675,0.8807560278275398,1.2124454681576715,1.4576891951020812,1.7027686889979108,2.0441693248300608,2.1627207939419013
2016-10-01,0.3322656704053849,0.35048694460834673,0.36902753579199765,0.4262276474882604,0.5451345189866362,0.7851276241753568,1.010076428403097,1.3835505340814724,1.656304432234519,1.9270416968161759,2.302505583222538,2.432738328394556
2016-11-01,0.4156938979400094,0.45024165665497545,0.48445461879892543,0.585006301807692,0.7762066609523822,1.1172126255647619,1.4043384274589108,1.8401661893433543,2.1374096772612123,2.4209083157730524,2.803429882267652,2.935173402832038
2016-12-01,0.44049969814328505,0.4787771841062626,0.5165258725880277,0.6266065511618748,0.8326985630745443,1.191375300123854,1.4860979702176431,1.9232627064632795,2.2156764269255054,2.491195714318691,2.859716287407887,2.9863449095754073
2017-01-01,0.4747652219024065,0.5098401121362717,0.5445440202668563,0.6463687939915285,0.8393544848845605,1.1817947147216041,1.468694586404827,1.9021724620424527,2.196682930719989,2.476910902926623,2.854382612506944,2.9843292696322012
2017-02-01,0.4550329637201914,0.4944056766029938,0.5331066477408376,0.645263064191523,0.8525962197187074,1.2060353475331003,1.4902436196547475,1.9029027342191134,2.1737899500677407,2.4259506395684616,2.7602422124443726,2.874836601141201
2017-03-01,0.748259747569556,0.771957919037841,0.795730205904735,0.867256520178902,1.0094762610105321,1.280229778398252,1.5222160610870235,1.9091439457621637,2.184085539097038,2.4528041934311036,2.8216076605224516,2.9491900870382395
2017-04-01,0.7858125495293198,0.8052104868016727,0.8248371421485311,0.884796486021861,1.0073306710639922,1.2493337695353914,1.472321703114415,1.8377049700452797,2.1020602077987296,2.3630949965588077,2.7238446832472176,2.8488628209364544
2017-05-01,0.9641724724638697,0.9727786001716867,0.982057405802135,1.013458745040032,1.0886291198412306,1.265268330876935,1.4488754661635295,1.776399539459878,2.0272779926445312,2.282710654848522,2.6428554404888924,2.7682948323704384
2017-06-01,0.9647042456680452,0.9831453438883706,1.0016996105495795,1.057825219477593,1.170517139138775,1.3879381396287598,1.5844700440097153,1.9016348028402554,2.1285639579875113,2.3512362155831887,2.65766611134757,2.7637445137690024
