Date,1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR
1990-01-02,7.843596155294169,7.843989188403768,7.84446156948881,7.846304238471012,7.851508490203794,7.865472617841916,7.881066347943763,7.910106262559278,7.932936684053322,7.956488210049057,7.989969936361406,8.001655579389022
1990-01-03,7.892902763091639,7.89412201513491,7.895368913405165,7.899249147144014,7.907434378859467,7.924254735290376,7.940237769656747,7.967046810390567,7.9867664428711835,8.006417397146093,8.033740798533461,8.043224405236385
1990-01-04,7.8468416258744025,7.849167145315692,7.851484843990746,7.858376946841315,7.871783273837239,7.896522055471877,7.918030838242944,7.951629298412866,7.9750793733566585,7.997759516726803,8.028663107611724,8.03933385311953
1990-01-05,7.787570578447818,7.792960589539036,7.798217877834561,7.813229247036624,7.840127721632744,7.883569038274847,7.916433546468625,7.961120586954502,7.988670493855037,8.013226657788442,8.044710765675427,8.055404830154618
1990-01-08,7.806152756369762,7.810549748281377,7.814879687451043,7.827471806715962,7.8509160932838356,7.891352715837881,7.92427269868248,7.97266341906637,8.004777864819909,8.034885049229903,8.075007508686033,8.088780664912592
1990-01-09,7.780558103422004,7.785789971821901,7.790929315648174,7.805805304569198,7.833236988721208,7.879806448567467,7.917088472507778,7.970977860682826,8.006210317408131,8.03891994984436,8.08219771662975,8.097025342050843
1990-01-10,7.737791253916246,7.745126175148433,7.752274327704585,7.772650623402126,7.809030845664007,7.867400953689341,7.911211779566782,7.97024114486161,8.00629257713806,8.038205071414975,8.078893772413227,8.092692676558483
1990-01-11,7.770519435726843,7.776185591164706,7.781745309102852,7.7978037534004425,7.827285457899668,7.876964705361343,7.916417503403535,7.972975206213592,8.009674539890979,8.043575867578047,8.088262730350671,8.103557657149532
1990-01-12,7.727334068995193,7.737198302212667,7.74678525220908,7.773968535511832,7.821942695730725,7.897274120780142,7.9523216082560895,8.024144620594173,8.066520887995758,8.10305545898758,8.148628242464131,8.163986819934593
1990-01-16,7.893085106914772,7.9029870747181,7.9125502396040215,7.939329491313332,7.985284901218975,8.05357246123483,8.099868032928864,8.154457235693783,8.182855379207327,8.204751514553433,8.22931975069985,8.237330744245426
1990-01-17,7.931279570339389,7.937638886714779,7.943840331374492,7.961540486668439,7.993229553924959,8.044327742259602,8.082912513026928,8.135264846179677,8.167469574936794,8.196128668981958,8.232825977966215,8.245286282647154
1990-01-18,8.005094990031456,8.017910909893322,8.030215223430469,8.064260835136414,8.121077260625187,8.200595384587679,8.24967834404206,8.299162606379932,8.318820923288794,8.32929246226177,8.335483431060199,8.336896960247692
1990-01-19,7.956207522962186,7.968502161182305,7.9803054479686715,8.01296161112286,8.067446857941757,8.143663377722769,8.190667716614266,8.23797866079817,8.256707706648331,8.26661779183958,8.272362717279798,8.273650829343584
1990-01-22,7.943350093239133,7.954658693673254,7.965556895113343,7.995943109487033,8.047571944443701,8.122714224956292,8.172107564893812,8.227655541637496,8.25459928216933,8.273869740213879,8.293707462173886,8.299981697085117
1990-01-23,7.898727203582936,7.912833089018001,7.926381423402769,7.963900477239619,8.0266378376295,8.114832815289013,8.169678903527771,8.225751222129116,8.248686298082038,8.261568481540776,8.27032682854502,8.272562541159392
1990-01-24,7.891037248236857,7.909010008911332,7.926293504514634,7.9742752704575715,8.054980578916895,8.169914952226472,8.242928232248476,8.320490484253096,8.35465438334497,8.376232519464297,8.394793190249803,8.400230074573585
1990-01-25,7.911421129900711,7.930010871466895,7.947894264456027,7.997578453701106,8.081293878643049,8.200971534327115,8.277466398112725,8.359596221269951,8.396471403559284,8.42039818214866,8.441900315899487,8.448329663782088
1990-01-26,7.910351009467771,7.931853360134575,7.95253674558827,8.009989007885503,8.106749896940782,8.244942308614982,8.333133611487796,8.427567514938652,8.469764837815893,8.496964476816459,8.5211534412264,8.528351599911666
1990-01-29,7.970372964399908,7.989190472101952,8.007302403757416,8.057674547318598,8.142759057015468,8.265046259526345,8.343875808009935,8.429741877181817,8.469273637227362,8.495797819326539,8.520865657487157,8.528528590636492
1990-01-30,7.987614731157574,8.006331040415871,8.024345783096592,8.074448837170538,8.159083602039097,8.280739226563082,8.35917670448824,8.444643246790344,8.484012684669375,8.510446766162838,8.535455093237548,8.543103149019899
1990-01-31,7.994548475830372,8.01112381429298,8.027051829601934,8.071205015049179,8.145210945339338,8.249796087863965,8.315405419149625,8.383563268606215,8.412346135245622,8.429398879119516,8.442435409455937,8.446022420024626
1990-02-01,8.007840874239754,8.023709349593751,8.038951231320066,8.081163707517286,8.15176316042805,8.25105436288504,8.312846467449749,8.37610648093571,8.402053749602583,8.41669857767398,8.426770528702567,8.429362262187514
1990-02-02,8.042977099954122,8.061385649262066,8.079045949447822,8.127835944518413,8.208958359201885,8.321553199081084,8.390070505412563,8.457271899142889,8.482377700788192,8.494146522031265,8.498349521969557,8.498739920375863
1990-02-05,8.05464871677025,8.072738828936167,8.090109040355413,8.138184492857697,8.218464762670878,8.330980099271827,8.400595809508516,8.47109590357253,8.499370339951565,8.514701056541126,8.524227719434894,8.526498495270454
1990-02-06,8.049977685911704,8.069635484638553,8.088519265089172,8.140830411117259,8.228368962016487,8.351637663659847,8.428512060753468,8.507516326789007,8.540174979374342,8.558855465636471,8.572104340848883,8.575584865563926
1990-02-07,8.053985512409314,8.074323885239677,8.093831388375715,8.14770106722822,8.237175551214332,8.361067202070503,8.436147829981257,8.509183827272883,8.535944068909991,8.547925073598583,8.551104646720173,8.551023991348499
