Date,0.083333333,0.166666667,0.25,0.5,1,2,3,5,7,10,20,30,Label
1/1/1990,7.994548476,8.011123814,8.02705183,8.071205015,8.145210945,8.249796088,8.315405419,8.383563269,8.412346135,8.429398879,8.442435409,8.44602242,3
2/1/1990,7.999677588,8.022911545,8.045166274,8.106452761,8.207570552,8.345454391,8.426767108,8.501494016,8.525031986,8.531369322,8.524469008,8.520693591,3
3/1/1990,8.048064893,8.084309808,8.118848689,8.212956077,8.364199744,8.55765824,8.658053761,8.722952378,8.71793775,8.684207273,8.610934961,8.583186088,3
5/1/1990,7.961351557,7.993744054,8.024690931,8.109460285,8.247509104,8.429995643,8.531443401,8.6123456,8.626359681,8.615544548,8.577762653,8.562650807,3
6/1/1990,7.925980867,7.946198228,7.965596045,8.019198836,8.108373453,8.232302019,8.307882117,8.382331981,8.410425823,8.423895715,8.429292281,8.429994012,3
7/1/1990,7.654555336,7.669010408,7.683165676,7.72389525,7.798077083,7.921386925,8.017845486,8.153945038,8.240958288,8.32053519,8.424634666,8.460191064,3
8/1/1990,7.543408308,7.574303762,7.604420038,7.690310231,7.843821099,8.090592899,8.276242021,8.52705484,8.680663781,8.816918332,8.990934296,9.049976759,3
9/1/1990,7.302390995,7.344782311,7.385864384,7.501695549,7.703578789,8.013049057,8.232177441,8.506771504,8.661372093,8.789626937,8.944270469,8.995864245,3
10/1/1990,7.250996557,7.280613269,7.309584436,7.392771594,7.543621769,7.792475046,7.985469611,8.255261812,8.426224936,8.58162177,8.783950499,8.852969027,3
11/1/1990,7.196240456,7.214601757,7.232741964,7.285820113,7.385866406,7.561868879,7.70807144,7.927204889,8.075088623,8.215211887,8.403394314,8.468125799,3
12/1/1990,6.518079835,6.55624658,6.593412601,6.699196492,6.887446193,7.187667776,7.411352151,7.710141921,7.890976983,8.049970563,8.251572349,8.319835321,3
1/1/1991,6.213710456,6.261939063,6.30875757,6.44120611,6.673781923,7.035498722,7.296575552,7.631983049,7.826448825,7.991779166,8.195540795,8.263969083,3
2/1/1991,6.022795831,6.081752866,6.138798879,6.299137148,6.576628697,6.996101223,7.287496798,7.643289915,7.837220926,7.993559503,8.177054883,8.237766911,3
3/1/1991,5.682030058,5.762327576,5.839740179,6.055744602,6.423400689,6.960489128,7.315531564,7.718396169,7.916530231,8.060487221,8.211558386,8.259680217,3
4/1/1991,5.429309048,5.513365645,5.59447727,5.821224004,6.208823601,6.780150897,7.1629324,7.606376236,7.831326778,8.000355378,8.184771251,8.244333436,3
5/1/1991,5.519601334,5.596168315,5.670212671,5.878099751,6.236989464,6.776806997,7.149191876,7.599442298,7.841756814,8.034819864,8.258831963,8.332680264,3
6/1/1991,5.497552296,5.589788143,5.678715846,5.926882788,6.349407822,6.967038497,7.375710695,7.840119301,8.069041834,8.235792489,8.41131736,8.467290727,3
7/1/1991,5.48983857,5.574316296,5.655906381,5.884394839,6.276562098,6.859493757,7.254878986,7.72141993,7.96435686,8.151852319,8.36244367,8.431134828,3
8/1/1991,5.242876709,5.310670129,5.376510572,5.562934261,5.890920705,6.40291029,6.774219733,7.254134658,7.534307952,7.77383414,8.070468614,8.170227688,3
9/1/1991,5.052490783,5.105563622,5.157476806,5.306523414,5.576741691,6.022339044,6.367761418,6.850402082,7.156100622,7.433874502,7.795448564,7.918780421,3
10/1/1991,4.748870711,4.800103013,4.850538212,4.997124451,5.269713043,5.73894785,6.120174417,6.679423701,7.049908965,7.396839271,7.858788667,8.017330089,3
11/1/1991,4.265328798,4.322180406,4.378239287,4.541674939,4.847505935,5.379341328,5.815991306,6.463167098,6.89575994,7.303182989,7.847960084,8.035137177,3
12/1/1991,3.75069816,3.800411398,3.849708237,3.994948465,4.272461234,4.771085875,5.193941216,5.840013736,6.283025881,6.706949296,7.280283773,7.47786606,1
1/1/1992,3.627623206,3.713151071,3.796581077,4.03484779,4.461966105,5.152276581,5.67497612,6.386428121,6.825495757,7.217145313,7.719590975,7.890283136,1
2/1/1992,3.709336704,3.798661522,3.885607182,4.132870486,4.572096331,5.270233255,5.788243816,6.476788543,6.891339806,7.254382363,7.713218955,7.868438218,1
3/1/1992,3.780746735,3.890341777,3.996461931,4.295165463,4.813816752,5.602971982,6.156135502,6.839962799,7.218587207,7.528148985,7.896397638,8.018749379,3
4/1/1992,3.41533474,3.538336653,3.657401345,3.992332616,4.573074334,5.454250842,6.069562102,6.826256601,7.242487485,7.580814221,7.981063942,8.113820454,3
5/1/1992,3.458280578,3.560875341,3.660530472,3.942787167,4.439722327,5.216465847,5.780740474,6.511618812,6.939334019,7.305703857,7.760180539,7.913097026,1
6/1/1992,3.365740058,3.449326847,3.531082663,3.76578434,4.191196323,4.892431957,5.435773988,6.19457968,6.674966532,7.111325248,7.679179614,7.87285927,1
7/1/1992,2.996147678,3.073666545,3.14970223,3.369171426,3.771527882,4.447916148,4.983667684,5.74961448,6.24538288,6.702586685,7.304488578,7.510430585,1
8/1/1992,3.013151606,3.071691069,3.129815891,3.301478448,3.631018587,4.22734929,4.736499551,5.519196285,6.058563982,6.576252542,7.277891946,7.519825425,1
9/1/1992,2.558838164,2.619895416,2.680633275,2.860629248,3.208462039,3.84415472,4.391966898,5.24107524,5.830088861,6.397684164,7.169113797,7.435305555,1
10/1/1992,2.814181893,2.900998774,2.98601674,3.230652036,3.676248514,4.417050851,4.996630675,5.81453341,6.337530211,6.81588236,7.441696272,7.655455203,1
11/1/1992,3.077581352,3.176649211,3.273039462,3.546945588,4.032661057,4.802223734,5.370962609,6.12333147,6.573990983,6.96711256,7.462353743,7.629732537,1
